gs_text34,iso3,weight,age,sex
AIDS,ZWE,0.29708084,1,0
Bite of Venomous Animal,ZWE,0.0000441,1,0
Diarrhea/Dysentery,ZWE,0.18476215,1,0
Drowning,ZWE,0.00252415,1,0
Encephalitis,ZWE,0.00101691,1,0
Falls,ZWE,0.00117405,1,0
Fires,ZWE,0.00070413,1,0
Hemorrhagic fever,ZWE,0.00003695,1,0
Malaria,ZWE,0.07679372,1,0
Measles,ZWE,0.01294961,1,0
Meningitis,ZWE,0.01162353,1,0
Other Cancers,ZWE,0.00532992,1,0
Other Cardiovascular Diseases,ZWE,0.01166698,1,0
Other Defined Causes of Child Deaths,ZWE,0.14962567,1,0
Other Digestive Diseases,ZWE,0.00768061,1,0
Other Infectious Diseases,ZWE,0.08460161,1,0
Pneumonia,ZWE,0.13714773,1,0
Poisonings,ZWE,0.01285138,1,0
Road Traffic,ZWE,0.00171745,1,0
Sepsis,ZWE,0.00062665,1,0
Violent Death,ZWE,0.00004186,1,0
AIDS,ZWE,0.32493294,1,1
Bite of Venomous Animal,ZWE,0.00010829,1,1
Diarrhea/Dysentery,ZWE,0.18810421,1,1
Drowning,ZWE,0.0015613,1,1
Encephalitis,ZWE,0.00077895,1,1
Falls,ZWE,0.00076459,1,1
Fires,ZWE,0.00052629,1,1
Hemorrhagic fever,ZWE,0.00004697,1,1
Malaria,ZWE,0.04794712,1,1
Measles,ZWE,0.01463622,1,1
Meningitis,ZWE,0.00890337,1,1
Other Cancers,ZWE,0.00393074,1,1
Other Cardiovascular Diseases,ZWE,0.018462,1,1
Other Defined Causes of Child Deaths,ZWE,0.14299468,1,1
Other Digestive Diseases,ZWE,0.00953676,1,1
Other Infectious Diseases,ZWE,0.07535896,1,1
Pneumonia,ZWE,0.14699828,1,1
Poisonings,ZWE,0.01186612,1,1
Road Traffic,ZWE,0.00141566,1,1
Sepsis,ZWE,0.00108749,1,1
Violent Death,ZWE,0.00003904,1,1
AIDS,ZWE,0.54406569,10,0
Bite of Venomous Animal,ZWE,0.00011466,10,0
Diarrhea/Dysentery,ZWE,0.01544357,10,0
Drowning,ZWE,0.00514511,10,0
Encephalitis,ZWE,0.00238102,10,0
Falls,ZWE,0.00184951,10,0
Fires,ZWE,0.0003384,10,0
Hemorrhagic fever,ZWE,0.00003703,10,0
Malaria,ZWE,0.11049667,10,0
Measles,ZWE,0.00209633,10,0
Meningitis,ZWE,0.00926397,10,0
Other Cancers,ZWE,0.02190235,10,0
Other Cardiovascular Diseases,ZWE,0.05329107,10,0
Other Defined Causes of Child Deaths,ZWE,0.10068991,10,0
Other Digestive Diseases,ZWE,0.01110627,10,0
Other Infectious Diseases,ZWE,0.08478537,10,0
Pneumonia,ZWE,0.02723691,10,0
Poisonings,ZWE,0.00440087,10,0
Road Traffic,ZWE,0.00449861,10,0
Sepsis,ZWE,0.0007547,10,0
Violent Death,ZWE,0.00010199,10,0
AIDS,ZWE,0.51176055,10,1
Bite of Venomous Animal,ZWE,0.00006566,10,1
Diarrhea/Dysentery,ZWE,0.01393272,10,1
Drowning,ZWE,0.00294243,10,1
Encephalitis,ZWE,0.00277629,10,1
Falls,ZWE,0.00120442,10,1
Fires,ZWE,0.00025459,10,1
Hemorrhagic fever,ZWE,0.00003116,10,1
Malaria,ZWE,0.12662422,10,1
Measles,ZWE,0.00228505,10,1
Meningitis,ZWE,0.01080175,10,1
Other Cancers,ZWE,0.01831842,10,1
