gs_text34,iso3,weight,age,sex
Birth asphyxia,ZWE,0.4041788,0,0
Congenital malformation,ZWE,0.051495,0,0
Meningitis/Sepsis,ZWE,0.0480478,0,0
Pneumonia,ZWE,0.0622022,0,0
Preterm Delivery,ZWE,0.1771397,0,0
Stillbirth,ZWE,0.2569365,0,0
Birth asphyxia,ZWE,0.3557655,0,1
Congenital malformation,ZWE,0.0609507,0,1
Meningitis/Sepsis,ZWE,0.0363432,0,1
Pneumonia,ZWE,0.0756649,0,1
Preterm Delivery,ZWE,0.2050457,0,1
Stillbirth,ZWE,0.26623,0,1
Birth asphyxia,ZWE,0.2240754,7,0
Congenital malformation,ZWE,0.1278007,7,0
Meningitis/Sepsis,ZWE,0.174977,7,0
Pneumonia,ZWE,0.3507899,7,0
Preterm Delivery,ZWE,0.122357,7,0
Stillbirth,ZWE,0,7,0
Birth asphyxia,ZWE,0.1777733,7,1
Congenital malformation,ZWE,0.1381606,7,1
Meningitis/Sepsis,ZWE,0.1765312,7,1
Pneumonia,ZWE,0.3763592,7,1
Preterm Delivery,ZWE,0.1311758,7,1
Stillbirth,ZWE,0,7,1
Birth asphyxia,ZMB,0.5318638,0,0
Congenital malformation,ZMB,0.0160559,0,0
Meningitis/Sepsis,ZMB,0.0728363,0,0
Pneumonia,ZMB,0.037619,0,0
Preterm Delivery,ZMB,0.1087826,0,0
Stillbirth,ZMB,0.2328424,0,0
Birth asphyxia,ZMB,0.4837061,0,1
Congenital malformation,ZMB,0.0326726,0,1
Meningitis/Sepsis,ZMB,0.111669,0,1
Pneumonia,ZMB,0.0449413,0,1
Preterm Delivery,ZMB,0.0826093,0,1
Stillbirth,ZMB,0.2444016,0,1
Birth asphyxia,ZMB,0.4358605,7,0
Congenital malformation,ZMB,0.0438741,7,0
Meningitis/Sepsis,ZMB,0.2008975,7,0
Pneumonia,ZMB,0.2129096,7,0
Preterm Delivery,ZMB,0.1064583,7,0
Stillbirth,ZMB,0,7,0
Birth asphyxia,ZMB,0.3185401,7,1
Congenital malformation,ZMB,0.115583,7,1
Meningitis/Sepsis,ZMB,0.2657947,7,1
Pneumonia,ZMB,0.2341831,7,1
Preterm Delivery,ZMB,0.0658991,7,1
Stillbirth,ZMB,0,7,1
Birth asphyxia,ZAF,0.4676333,0,0
Congenital malformation,ZAF,0.0456973,0,0
Meningitis/Sepsis,ZAF,0.0370282,0,0
Pneumonia,ZAF,0.0347851,0,0
Preterm Delivery,ZAF,0.1718475,0,0
Stillbirth,ZAF,0.2430086,0,0
Birth asphyxia,ZAF,0.4424163,0,1
Congenital malformation,ZAF,0.0482801,0,1
Meningitis/Sepsis,ZAF,0.0397958,0,1
Pneumonia,ZAF,0.0371376,0,1
Preterm Delivery,ZAF,0.1830657,0,1
Stillbirth,ZAF,0.2493046,0,1
Birth asphyxia,ZAF,0.3514751,7,0
Congenital malformation,ZAF,0.1000005,7,0
Meningitis/Sepsis,ZAF,0.1266262,7,0
Pneumonia,ZAF,0.2177949,7,0
Preterm Delivery,ZAF,0.2041034,7,0
Stillbirth,ZAF,0,7,0
Birth asphyxia,ZAF,0.3245066,7,1
Congenital malformation,ZAF,0.1022661,7,1
Meningitis/Sepsis,ZAF,0.1146576,7,1
Pneumonia,ZAF,0.2462387,7,1
Preterm Delivery,ZAF,0.2123309,7,1
Stillbirth,ZAF,0,7,1
Birth asphyxia,YEM,0.1908536,0,0
Congenital malformation,YEM,0.1982308,0,0
Meningitis/Sepsis,YEM,0.0226975,0,0
Pneumonia,YEM,0.0789715,0,0
Preterm Delivery,YEM,0.2246856,0,0
Stillbirth,YEM,0.284561,0,0
Birth asphyxia,YEM,0.1899388,0,1
Congenital malformation,YEM,0.1950303,0,1
Meningitis/Sepsis,YEM,0.0269795,0,1
Pneumonia,YEM,0.0685034,0,1
Preterm Delivery,YEM,0.2327793,0,1
Stillbirth,YEM,0.2867688,0,1
Birth asphyxia,YEM,0.1775228,7,0
