xs_name,age,s110,s111,s112,s113991,s114991,s115,s116991,s117,s118,s119,s11991,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135991,s136,s137,s138,s13991,s139991,s14,s141991,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s16991,s17,s18,s180,s181,s188,s189,s19,s190,s28,s29,s2991,s2992,s2993,s2994,s2995,s30991,s31,s5991,s6991,s7,s8991,s8992,s9,s99991,s999910,s999911,s999912,s999913,s999914,s999915,s999916,s999917,s999918,s999919,s99992,s999920,s999921,s999922,s999923,s999924,s999925,s999926,s999927,s999928,s999929,s99993,s999930,s999931,s999932,s999933,s999934,s999935,s999936,s999937,s999938,s999939,s99994,s999940,s999941,s999942,s999943,s999944,s999945,s999946,s999947,s999948,s99995,s99996,s99997,s99998,s99999,sex
cause1,0,0,0.6048903,0,0,0,1.669231,2.324223,1.408228,0,0,-2.685687,0,1.711724,3.2754,4.557204,0,0,0,0,0,1.199495,0,0,0,0,0,0,0,0,0,0,0,0,0,7.065134,0,0,0,0,0,8.450353,0,0,0,0,0,-1.066302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3925782,0,0,2.579661,57.6,0.3489584,41.4,-1.233507,1.267217,0,1.360283,0,0,0,0,-0.8258584,0,0,0,0,0,0,0,-0.9376934,0,0,-0.6798892,0,0,0,0,-0.6979573,0,0,0,-0.8839532,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4277801,0,0,0,-0.5312567,0,0,4.949143
cause2,0.4012366,-1.242399,-0.9990491,-0.9237587,-0.8290182,-0.9186978,-0.9074075,-1.080421,-0.671927,-0.7028986,0,0,0,-0.7816092,-0.5240639,-0.6322695,-0.53125,0,-1.029359,-0.8004115,-0.8182194,-0.5970981,-0.7583629,-0.5522732,-0.6846033,-0.7119537,1.61484,0,0,0,-0.5521307,0,0,0,0,-1.038989,0,-0.6905639,0,0,-0.5526316,0,-0.5024217,-1.212177,0,-0.6965174,0,0,0,0,0,0,925.9259,0,0,0,0,-0.2645724,0,0,0,0.3925782,0,0,0,0,0.3489584,0,0,-0.8258651,0,-0.6539819,0,0,2.590183,1.589081,0,0,0,0,0,0,0,0,0,0,0,-0.6798892,0,0,0,0,0,-0.7181718,0,0,2.465508,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59158,0,0,0,0,0,36.09135,0,0,0,685.185,0,0,0,0,0,0,0,-0.5312567,0,0,0
cause3,-0.6928465,0,0,0,0,0,2.85637,3.514868,1.329134,2.16361,0.8904924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4322768,0,0,0,0,0,0,0,0,-0.632463,-0.5788022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6901519,0,0,0,0,0,0.8145937,0.9053567,0,0,-1.009534,0.6255388,0,0,0,0.9991863,0,0,0,0,0,0,0,0,5.640599,0,4.208035,0,0,0,0,0,0,-1.007943,0,0,0.8906369,0,0,0,0,0,0.5259197,0,0,0,0,0,0,0,0,0,0,0.5987573,0,0,0,0,0,0,1.066463,0,0,0,0,0,0,0
cause4,0.3870675,-1.328928,-1.013237,-1.058282,-0.8864748,-1.042377,-1.076923,-1.304411,-0.7612039,-0.7028986,-0.714325,0,0,-0.7816092,-0.5240639,-0.6322695,-0.53125,-1.603395,-1.56413,-1.200134,-0.84484,-0.6768454,-0.7978265,-0.6899798,-0.592498,-1.175812,-1.838583,-0.8573096,-0.5421651,0,-0.5521307,0,0,0,0,-1.038989,0,-0.6905639,-0.8562041,-0.7304178,-0.5526316,0,-0.4822772,-1.082913,0,-0.6965174,-0.7329385,0,0,0,915.6627,0,0,0,0,0,0,-0.3125261,3.542169,0,0,0,0,0,0,0,0,0,0,-1.112597,-0.2502095,-0.3451135,0,0,2.071113,0.8441007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2166,2.724557,-0.7017816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8894961,0,0,-0.4277801,0,-0.8249555,0,-0.5312567,-0.69406,0,0
cause5,0,0.3184686,0.6182607,0.5554308,1.005392,0,0,0,0,0,1.540248,1.960769,0,0,0,0,0,0.7943375,0,0.7655826,0,0.6857706,0,1.528561,0,1.851347,2.697964,3.674929,2.271804,0,0,-0.8132321,0,0,0,-1.038989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7038913,0.3925782,0,0,0,0,0.3489584,0,1.125422,0.677433,0,0,0,0,0,0,1.029219,0,0,0,0,0,0,0,0,0,1.832247,0,0,0,0,0,0,1.521175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.225618,0,0,0,3.822417,0,0,0
cause6,0.3445948,-1.087978,-0.9949055,-0.9073655,-0.7598357,-0.8999926,-0.9835165,-1.304411,-0.6628168,-0.7028986,-0.714325,0,0,0,0,0,0,-0.6039202,-0.7587845,0,0,-0.5850372,0,0,0,-0.6588646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5526316,0,0,-0.7637267,0,-0.6965174,1.311812,0,0,26.28572,0,0,0,0,0,10.16327,0,-0.3125261,0,0,0,0,0,0,0,0,0,0,1.118827,-0.512683,0,-0.3550185,0,1.666297,0,1.299965,0.6764791,0,0,0,0,0,0,0,-0.9376934,0,0,0,0,0,0,0,5.889911,-0.5926663,0,0,0,5.288039,0,0,0,4.097794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.579015,0,0,0,0,0
cause7,0,-0.937811,-0.7816871,-0.6697841,-0.658338,-0.8108684,-0.6057692,-0.6818511,-0.4776182,0,0,0,0,-0.4482758,0,0,-0.53125,-0.5494424,0,-0.7565359,0,-0.6683639,-0.7816168,-0.4322138,0,-0.8190689,0,0,0,0,0,0,0,-1.235645,0,0,0,0,0,0,4.388545,0,0,-0.7683758,0,0,0,0,0,0,0,0,0,125.5294,0,5.492648,0,-0.3125261,5.764706,0,0,0,0,0,0,0,0,0,-0.7659025,-0.378954,0,0,0,0,0,1.047414,-0.5024359,0,0,0,0,2.778442,0,0,0,0,0,0,0,0,0,0,2.909873,-0.5565032,3.264698,29.41902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10408,0,0,0,0,-0.4277801,0,-0.7138515,0,-0.5312567,0,0,0
cause8,0,0.2588528,0.551147,0.4890488,0.9386204,0,0,0,0,0,0,0,0,0,0,0,0,0.8654934,0.8355976,0,0.7997077,0,0,0,0,0,0,0,0,0,2.219349,0,0,0,0,0,0,-0.5653146,0,0,0,0,1.029068,0.8566439,0,0,1.330986,0,0,0,0,0,0,0,0,0,0,1.87078,0,0,0.7038913,0.3925782,0,0,0.8897263,0,0.3489584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.730944,0,0,0,549.02,0,0,0,1.705294,0,0,3.371835,0,0,0,4.47055,0,0,0,0,0,0,0,0,0,0,0,0,3.04033,0,0,0,0,0,0,0,0,0,0,0.9963684,0,3.112717,0,0,0,0,0
cause9,0,0,0,0.6730835,1.039315,0,0.7775199,0.7810107,0,1.114942,0,-2.243534,0,0,0,0,0,0,0,-0.6666667,0,0,0,0,0,0.6649778,0,0,0,0,0,0,0,0,0,0,0,0,-0.7093596,-0.5843341,0,0,0,0,0,0,-0.677642,-0.8706909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.518225,0,0,0,-1.027922,0,0,1.082453,0,0,-1.107463,0,-0.9206547,0,0,0,0,0,0,0,-0.9376934,0,0,-0.5782924,0,0,0,0,-0.6979573,-0.4685744,0,0,0,-1.084168,0,0,0,0,0,0,0,0,5.484474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9455744,0,-0.9700367,-0.3442974,0,-0.5710876,0,0,-0.7506954,0,0
cause10,0,0.3606965,0,0.895819,1.002102,0,0,0,0,0,0,3.685707,0,0,-0.5240639,-0.6322695,-0.53125,0,0,0,0,0,0,0,-0.6846033,0,0,0,-0.5421651,0,0,0,0,1.373347,0,0,0,-0.6905639,0,0,0,0,0,-1.134847,0,0,-0.8612263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7038913,0.3925782,0,0,-1.206316,0,0.3489584,0,2.549115,0,0,0,0,1.865222,0,3.248501,1.790425,0,0,0,0,0,0,0,4.484611,0,0,0,0,0,0,0,0,2.03852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.78699,0,21.59204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
